_,CO2,CH4,C3H8,NG,SPEC
$,420.00,1.00,106.00,23.00,
$,284.00,1.00,106.00,23.00,
$,284.00,1.00,106.00,23.00,
$,282.00,1.00,106.00,23.00,
$,282.00,1.00,106.00,23.00,
$,282.00,1.00,106.00,23.00,
$,311.00,1.00,106.00,23.00,
$,287.00,1.00,106.00,23.00,
$,284.00,1.00,106.00,23.00,
$,284.00,1.00,106.00,23.00,
$,284.00,1.00,106.00,23.00,
$,284.00,1.00,105.00,23.00,
$,284.00,1.00,106.00,23.00,
$,284.00,1.00,106.00,23.00,
$,284.00,1.00,106.00,23.00,
$,314.00,1.00,106.00,23.00,
$,284.00,1.00,106.00,23.00,
$,282.00,1.00,106.00,23.00,
$,282.00,1.00,106.00,23.00,
$,282.00,1.00,106.00,23.00,
$,284.00,1.00,106.00,23.00,
$,284.00,1.00,106.00,23.00,
$,284.00,1.00,106.00,23.00,
$,284.00,1.00,106.00,23.00,
$,284.00,1.00,106.00,23.00,
$,284.00,1.00,106.00,23.00,
$,284.00,1.00,105.00,23.00,
$,284.00,1.00,106.00,23.00,
$,284.00,1.00,106.00,23.00,
$,284.00,1.00,106.00,23.00,
$,284.00,1.00,106.00,23.00,
$,282.00,1.00,105.00,23.00,
$,282.00,1.00,106.00,23.00,
$,282.00,1.00,106.00,23.00,
$,284.00,1.00,106.00,23.00,
$,284.00,1.00,105.00,23.00,
$,284.00,1.00,106.00,23.00,
$,284.00,1.00,106.00,23.00,
$,284.00,1.00,106.00,23.00,
$,284.00,1.00,106.00,23.00,
$,284.00,1.00,106.00,23.00,
$,282.00,1.00,106.00,23.00,
$,282.00,1.00,106.00,23.00,
$,282.00,1.00,106.00,23.00,
$,282.00,1.00,106.00,23.00,
$,282.00,1.00,106.00,23.00,
$,284.00,1.00,106.00,23.00,
$,284.00,1.00,106.00,23.00,
$,284.00,1.00,106.00,23.00,
$,284.00,1.00,106.00,23.00,
$,284.00,1.00,106.00,23.00,
$,284.00,1.00,106.00,23.00,
$,284.00,1.00,105.00,23.00,
$,282.00,1.00,105.00,23.00,
$,282.00,1.00,106.00,23.00,
$,282.00,1.00,105.00,23.00,
$,282.00,1.00,106.00,23.00,
$,282.00,1.00,106.00,23.00,
$,282.00,1.00,106.00,23.00,
$,279.00,1.00,106.00,23.00,
$,279.00,1.00,105.00,23.00,
$,279.00,1.00,105.00,23.00,
$,279.00,1.00,105.00,23.00,
$,279.00,1.00,105.00,23.00,
$,279.00,1.00,105.00,23.00,
$,276.00,1.00,105.00,23.00,
$,276.00,1.00,105.00,23.00,
$,279.00,1.00,106.00,23.00,
$,279.00,1.00,106.00,23.00,
$,279.00,1.00,106.00,23.00,
$,279.00,1.00,106.00,23.00,
$,279.00,1.00,106.00,23.00,
$,279.00,1.00,106.00,23.00,
$,276.00,1.00,106.00,23.00,
$,279.00,1.00,105.00,23.00,
$,279.00,1.00,105.00,23.00,
$,279.00,1.00,105.00,23.00,
$,279.00,1.00,105.00,23.00,
$,279.00,1.00,105.00,23.00,
$,279.00,1.00,105.00,23.00,
$,279.00,1.00,105.00,23.00,
$,279.00,1.00,106.00,23.00,
$,279.00,1.00,106.00,23.00,
$,279.00,1.00,106.00,23.00,
$,276.00,1.00,106.00,23.00,
$,279.00,1.00,106.00,23.00,
$,279.00,1.00,106.00,23.00,
$,279.00,1.00,106.00,23.00,
$,279.00,1.00,105.00,23.00,
$,279.00,1.00,105.00,23.00,
$,279.00,1.00,105.00,23.00,
$,279.00,1.00,105.00,23.00,
$,279.00,1.00,106.00,23.00,
$,279.00,1.00,105.00,23.00,
$,276.00,1.00,105.00,23.00,
$,279.00,1.00,105.00,23.00,
$,276.00,1.00,106.00,23.00,
$,276.00,1.00,105.00,23.00,
$,276.00,1.00,106.00,23.00,
$,276.00,1.00,105.00,23.00,
$,276.00,1.00,105.00,23.00,
$,279.00,1.00,105.00,23.00,
$,276.00,1.00,105.00,23.00,
